artist,attack,collectible,cost,durability,dust,entourage,faction,flavor,health,howToEarn,howToEarnGolden,id,mechanics,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,targetingArrowText,text,type
Doug Alexander,,True,0.0,,,,,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.",,Unlocked at Level 1.,Unlocked at Level 36.,EX1_169,,Innervate,,,DRUID,,FREE,CORE,,,Gain 2 Mana Crystals this turn only.,SPELL
Dave Kendall,1.0,True,3.0,,"[40, 400, 5, 50]",,,"He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.",3.0,,,EX1_007,,Acolyte of Pain,,,NEUTRAL,,COMMON,EXPERT1,,,"Whenever this minion takes damage, draw a card.",MINION
,,True,,,,,,,30.0,,,HERO_01,,Garrosh Hellscream,,,WARRIOR,,FREE,CORE,,,,HERO
Alex Horley Orlandelli,3.0,True,3.0,,"[40, 400, 5, 50]",,,"If he's raging now, just wait until he gets nerfed.",3.0,,,EX1_412,['ENRAGED'],Raging Worgen,,,NEUTRAL,,COMMON,EXPERT1,,,<b>Enrage:</b> <b>Windfury</b> and +1 Attack,MINION
Alex Garner,3.0,True,4.0,,"[40, 400, 5, 50]",,,She really likes seeing people get better.  That's why she hurts them in the first place.,5.0,,,AT_011,,Holy Champion,,,PRIEST,,COMMON,TGT,,,"Whenever a character is healed, gain +2 Attack.",MINION
A.J. Nazzaro,1.0,True,1.0,,,,,"His idol is the Green Hills of Stranglethorn, and he won't shut up about it.",1.0,"Unlocked in the Menagerie, in One Night in Karazhan.","Crafting unlocked in the Menagerie, in One Night in Karazhan.",KAR_009,['BATTLECRY'],Babbling Book,,,MAGE,,RARE,KARA,,,<b>Battlecry:</b> Add a random Mage spell to your hand.,MINION
Trent Kaniuga,3.0,True,3.0,,,,,Still hunting for the ones who earthed him.,4.0,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_019,['BATTLECRY'],Unearthed Raptor,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_FRIENDLY_TARGET': 0, 'REQ_TARGET_WITH_DEATHRATTLE': 0}",ROGUE,,RARE,LOE,,,<b>Battlecry:</b> Choose a friendly minion. Gain a copy of its <b>Deathrattle</b> effect.,MINION
Steve Ellis,4.0,True,6.0,,,,ALLIANCE,You earn the title of Archmage when you can destroy anyone who calls you on it.,7.0,,Unlocked at Mage Level 57.,CS2_155,,Archmage,,,NEUTRAL,,COMMON,CORE,1.0,,<b>Spell Damage +1</b>,MINION
Phroilan Gardner,3.0,True,3.0,,,,,The Cult of the Damned has found it's best not to mention their name when recruiting new cultists.,4.0,"Unlocked in The Construct Quarter, in the Naxxramas adventure.","Crafting unlocked in The Construct Quarter, in the Naxxramas adventure.",FP1_023,['DEATHRATTLE'],Dark Cultist,,,PRIEST,,COMMON,NAXX,,,<b>Deathrattle:</b> Give a random friendly minion +3 Health.,MINION
Dan Scott,,True,4.0,,"[400, 1600, 100, 400]",,,"""Hey! Ancestors!"" - Ancestor's call",,,,GVG_029,,Ancestor's Call,,,SHAMAN,,EPIC,GVG,,,Put a random minion from each player's hand into the battlefield.,SPELL
Linggar Bramanty,,True,3.0,,"[40, 400, 5, 50]",,,You must read the name of this card out loud each time you play it.,,,,EX1_538,,Unleash the Hounds,,"{'REQ_NUM_MINION_SLOTS': 1, 'REQ_MINIMUM_ENEMY_MINIONS': 1}",HUNTER,,COMMON,EXPERT1,,,"For each enemy minion, summon a 1/1 Hound with <b>Charge</b>.",SPELL
Greg Hildebrandt,1.0,True,2.0,,"[100, 800, 20, 100]",,,She accepts guild funds for repairs!,4.0,,,EX1_402,,Armorsmith,,,WARRIOR,,RARE,EXPERT1,,,"Whenever a friendly minion takes damage, gain 1 Armor.",MINION
