formula,class,mean,std,min,25%,50%,75%,max
inverse,DRUID,59.071015,15.622380907617876,2.0,50.0,59.0,68.0,125.0
inverse,HUNTER,58.324600333333336,16.504418532286348,1.0,49.0,58.0,68.0,128.0
inverse,MAGE,57.511359666666664,16.954784126598067,1.0,49.0,58.0,68.0,125.0
inverse,PALADIN,57.39895533333333,17.999472028432827,1.0,49.0,58.0,67.0,130.0
inverse,PRIEST,56.431170333333334,18.124112317705446,1.0,47.0,57.0,67.0,125.0
inverse,ROGUE,57.457408,17.275373379497317,1.0,49.0,58.0,68.0,125.0
inverse,SHAMAN,56.160716666666666,18.367782608275515,1.0,47.0,58.0,67.0,125.0
inverse,WARLOCK,56.087969666666666,17.656290689702654,1.0,47.0,57.0,67.0,125.0
inverse,WARRIOR,58.311901,16.983413425407438,1.0,49.0,58.0,68.0,125.0
linear,DRUID,73.341703,14.16975651356758,17.0,65.0,71.0,81.0,125.0
linear,HUNTER,74.295907,15.602487339947487,19.0,65.0,73.0,80.0,128.0
linear,MAGE,73.943334,15.052928369412443,10.0,64.0,71.0,80.0,125.0
linear,PALADIN,76.22089133333333,17.764234917614832,17.0,64.0,72.0,85.0,130.0
linear,PRIEST,74.95924,15.323899859251537,12.0,65.0,73.0,84.0,125.0
linear,ROGUE,73.84418733333334,13.785018429022296,16.0,65.0,73.0,81.0,125.0
linear,SHAMAN,74.73825766666667,14.738120787773765,13.0,65.0,73.0,83.0,125.0
linear,WARLOCK,73.76090266666667,14.73348701056223,13.0,64.0,71.0,82.0,125.0
linear,WARRIOR,75.26649266666666,15.797736911177406,15.0,64.0,73.0,83.0,125.0
linear_centered,DRUID,65.98154366666667,11.162394929559106,9.0,58.0,66.0,72.0,125.0
linear_centered,HUNTER,66.055112,11.224940088951461,11.0,58.0,66.0,73.0,128.0
linear_centered,MAGE,65.940142,11.35871348466133,8.0,58.0,65.0,73.0,125.0
linear_centered,PALADIN,66.09258233333334,11.843708327041425,8.0,58.0,65.0,72.0,125.0
linear_centered,PRIEST,66.315622,12.032364453660582,9.0,58.0,66.0,73.0,125.0
linear_centered,ROGUE,66.54458766666667,11.132956297447986,7.0,59.0,66.0,73.0,125.0
linear_centered,SHAMAN,66.50556433333334,11.824213221558018,8.0,59.0,66.0,73.0,125.0
linear_centered,WARLOCK,65.73284733333334,11.682584001279409,6.0,58.0,65.0,73.0,125.0
linear_centered,WARRIOR,66.20797466666667,12.221832991103481,8.0,58.0,65.0,73.0,125.0
normal,DRUID,53.159277333333335,0.3717097126461257,52.0,53.0,53.0,53.0,55.0
normal,HUNTER,53.31501,0.4693727445612024,52.0,53.0,53.0,54.0,55.0
normal,MAGE,53.216885,0.414803512677063,52.0,53.0,53.0,53.0,55.0
normal,PALADIN,53.20961233333333,0.4122859764465905,52.0,53.0,53.0,53.0,55.0
normal,PRIEST,53.27395466666667,0.45385119727919737,52.0,53.0,53.0,54.0,55.0
normal,ROGUE,53.191798666666664,0.4046191534894718,52.0,53.0,53.0,53.0,55.0
normal,SHAMAN,53.16116566666667,0.3722606713232627,52.0,53.0,53.0,53.0,55.0
normal,WARLOCK,53.220139333333336,0.4221153870449932,52.0,53.0,53.0,53.0,55.0
normal,WARRIOR,53.195782,0.4113912957556045,52.0,53.0,53.0,53.0,55.0
standard,DRUID,67.10350966666667,11.624193841131548,6.0,59.0,67.0,73.0,125.0
standard,HUNTER,67.71123133333333,12.668262580905788,7.0,59.0,67.0,76.0,128.0
standard,MAGE,68.534608,14.415715529378149,6.0,59.0,67.0,76.0,125.0
standard,PALADIN,68.43764633333333,15.142318375451035,2.0,58.0,66.0,78.0,130.0
standard,PRIEST,68.12433333333334,13.335892714934142,3.0,59.0,67.0,77.0,125.0
standard,ROGUE,68.07032933333333,11.95715270355111,2.0,60.0,67.0,76.0,125.0
standard,SHAMAN,68.54251166666667,13.994709978256054,6.0,59.0,67.0,78.0,125.0
standard,WARLOCK,67.987313,14.237251757501399,4.0,58.0,67.0,76.0,125.0
standard,WARRIOR,69.12300333333333,15.341962780945929,6.0,58.0,67.0,78.0,125.0
